date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2023-01-01,ZA100GA0,ST8000DM002,8001563222016,0,78.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-02,ZA100GA0,ST8000DM002,8001563222016,0,78.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-03,ZA100GA0,ST8000DM002,8001563222016,0,71.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-04,ZA100GA0,ST8000DM002,8001563222016,0,81.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-05,ZA100GA0,ST8000DM002,8001563222016,0,83.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-06,ZA100GA0,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-07,ZA100GA0,ST8000DM002,8001563222016,0,70.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-08,ZA100GA0,ST8000DM002,8001563222016,0,81.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-09,ZA100GA0,ST8000DM002,8001563222016,0,78.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-10,ZA100GA0,ST8000DM002,8001563222016,0,82.0,84.0,100.0,100.0,96.0,36.0,100.0,64.0,93.0,87.0,36.0,1.0,100.0,100.0
2023-01-01,ZA100HM9,ST8000DM002,8001563222016,0,82.0,87.0,100.0,100.0,95.0,35.0,100.0,78.0,67.0,84.0,22.0,1.0,100.0,100.0
2023-01-02,ZA100HM9,ST8000DM002,8001563222016,0,78.0,87.0,100.0,100.0,95.0,35.0,100.0,78.0,67.0,84.0,22.0,1.0,100.0,100.0
2023-01-03,ZA100HM9,ST8000DM002,8001563222016,0,82.0,87.0,100.0,100.0,95.0,35.0,100.0,78.0,67.0,84.0,22.0,1.0,100.0,100.0
2023-01-04,ZA100HM9,ST8000DM002,8001563222016,0,79.0,87.0,100.0,100.0,95.0,35.0,100.0,78.0,67.0,84.0,22.0,1.0,100.0,100.0
2023-01-05,ZA100HM9,ST8000DM002,8001563222016,0,82.0,87.0,100.0,100.0,96.0,35.0,100.0,77.0,67.0,84.0,23.0,1.0,100.0,100.0
2023-01-06,ZA100HM9,ST8000DM002,8001563222016,0,81.0,87.0,100.0,100.0,96.0,35.0,100.0,78.0,67.0,84.0,22.0,1.0,100.0,100.0
2023-01-07,ZA100HM9,ST8000DM002,8001563222016,0,80.0,87.0,100.0,100.0,96.0,35.0,100.0,77.0,67.0,84.0,23.0,1.0,100.0,100.0
2023-01-08,ZA100HM9,ST8000DM002,8001563222016,0,83.0,87.0,100.0,100.0,96.0,35.0,100.0,77.0,67.0,84.0,23.0,1.0,100.0,100.0
2023-01-09,ZA100HM9,ST8000DM002,8001563222016,0,79.0,87.0,100.0,100.0,96.0,35.0,100.0,77.0,67.0,84.0,23.0,1.0,100.0,100.0
2023-01-10,ZA100HM9,ST8000DM002,8001563222016,0,78.0,87.0,100.0,100.0,96.0,35.0,100.0,78.0,67.0,84.0,22.0,1.0,100.0,100.0
