date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-01,ZA100RXQ,ST8000NM0055,8001563222016,0,75.0,89.0,100.0,100.0,93.0,82.0,100.0,52.0,90.0,100.0,48.0,75.0
2023-01-02,ZA100RXQ,ST8000NM0055,8001563222016,0,83.0,89.0,100.0,100.0,93.0,81.0,100.0,53.0,90.0,100.0,47.0,83.0
2023-01-03,ZA100RXQ,ST8000NM0055,8001563222016,0,82.0,89.0,100.0,100.0,93.0,81.0,100.0,52.0,90.0,100.0,48.0,82.0
2023-01-04,ZA100RXQ,ST8000NM0055,8001563222016,0,76.0,89.0,100.0,100.0,93.0,81.0,100.0,53.0,90.0,100.0,47.0,76.0
2023-01-05,ZA100RXQ,ST8000NM0055,8001563222016,0,83.0,89.0,100.0,100.0,93.0,81.0,100.0,52.0,90.0,100.0,48.0,83.0
2023-01-06,ZA100RXQ,ST8000NM0055,8001563222016,0,79.0,89.0,100.0,100.0,93.0,81.0,100.0,53.0,90.0,100.0,47.0,79.0
2023-01-07,ZA100RXQ,ST8000NM0055,8001563222016,0,78.0,89.0,100.0,100.0,93.0,81.0,100.0,52.0,90.0,100.0,48.0,78.0
2023-01-08,ZA100RXQ,ST8000NM0055,8001563222016,0,81.0,89.0,100.0,100.0,93.0,81.0,100.0,53.0,90.0,100.0,47.0,81.0
2023-01-09,ZA100RXQ,ST8000NM0055,8001563222016,0,84.0,89.0,100.0,100.0,93.0,81.0,100.0,52.0,90.0,100.0,48.0,84.0
2023-01-10,ZA100RXQ,ST8000NM0055,8001563222016,0,81.0,89.0,100.0,100.0,93.0,81.0,100.0,53.0,90.0,100.0,47.0,81.0
2023-01-01,ZA101R30,ST8000NM0055,8001563222016,0,81.0,91.0,100.0,100.0,93.0,44.0,100.0,75.0,88.0,60.0,25.0,81.0
2023-01-02,ZA101R30,ST8000NM0055,8001563222016,0,74.0,91.0,100.0,100.0,93.0,44.0,100.0,75.0,88.0,60.0,25.0,74.0
2023-01-03,ZA101R30,ST8000NM0055,8001563222016,0,82.0,91.0,100.0,100.0,93.0,44.0,100.0,75.0,88.0,60.0,25.0,82.0
2023-01-04,ZA101R30,ST8000NM0055,8001563222016,0,80.0,91.0,100.0,100.0,93.0,44.0,100.0,75.0,88.0,60.0,25.0,80.0
2023-01-05,ZA101R30,ST8000NM0055,8001563222016,0,78.0,91.0,100.0,100.0,93.0,44.0,100.0,74.0,88.0,60.0,26.0,78.0
2023-01-06,ZA101R30,ST8000NM0055,8001563222016,0,79.0,91.0,100.0,100.0,93.0,44.0,100.0,75.0,88.0,60.0,25.0,79.0
2023-01-07,ZA101R30,ST8000NM0055,8001563222016,0,84.0,91.0,100.0,100.0,93.0,44.0,100.0,75.0,88.0,60.0,25.0,84.0
2023-01-08,ZA101R30,ST8000NM0055,8001563222016,0,82.0,91.0,100.0,100.0,93.0,44.0,100.0,75.0,88.0,60.0,25.0,82.0
2023-01-09,ZA101R30,ST8000NM0055,8001563222016,0,81.0,91.0,100.0,100.0,93.0,43.0,100.0,75.0,88.0,60.0,25.0,81.0
2023-01-10,ZA101R30,ST8000NM0055,8001563222016,0,76.0,91.0,100.0,100.0,93.0,43.0,100.0,74.0,88.0,60.0,26.0,76.0
2023-01-01,ZA101WQF,ST8000NM0055,8001563222016,0,77.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,77.0
2023-01-02,ZA101WQF,ST8000NM0055,8001563222016,0,72.0,95.0,100.0,100.0,92.0,71.0,100.0,77.0,97.0,79.0,23.0,72.0
2023-01-03,ZA101WQF,ST8000NM0055,8001563222016,0,71.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,71.0
2023-01-04,ZA101WQF,ST8000NM0055,8001563222016,0,84.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,84.0
2023-01-05,ZA101WQF,ST8000NM0055,8001563222016,0,78.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,78.0
2023-01-06,ZA101WQF,ST8000NM0055,8001563222016,0,80.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,80.0
2023-01-07,ZA101WQF,ST8000NM0055,8001563222016,0,79.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,79.0
2023-01-08,ZA101WQF,ST8000NM0055,8001563222016,0,84.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,84.0
2023-01-09,ZA101WQF,ST8000NM0055,8001563222016,0,82.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,82.0
2023-01-10,ZA101WQF,ST8000NM0055,8001563222016,0,80.0,95.0,100.0,100.0,92.0,71.0,100.0,78.0,97.0,79.0,22.0,80.0
2023-01-01,ZA101Z92,ST8000NM0055,8001563222016,0,82.0,89.0,100.0,100.0,92.0,49.0,100.0,62.0,91.0,67.0,38.0,82.0
2023-01-02,ZA101Z92,ST8000NM0055,8001563222016,0,83.0,89.0,100.0,100.0,92.0,49.0,100.0,63.0,91.0,67.0,37.0,83.0
2023-01-03,ZA101Z92,ST8000NM0055,8001563222016,0,82.0,89.0,100.0,100.0,92.0,49.0,100.0,62.0,91.0,67.0,38.0,82.0
2023-01-04,ZA101Z92,ST8000NM0055,8001563222016,0,100.0,89.0,100.0,100.0,92.0,49.0,100.0,62.0,91.0,67.0,38.0,100.0
2023-01-05,ZA101Z92,ST8000NM0055,8001563222016,0,78.0,89.0,100.0,100.0,92.0,49.0,100.0,63.0,91.0,67.0,37.0,78.0
